:START_ID(ConferenceWorkshop),:END_ID(ReviewPolicy)
2017 IEEE International Conference on Big Data (Big Data),rp3
2019 IEEE 15th International Scientific Conference on Informatics,rp2
ACM Computing Surveys,rp1
ANT/SEIT,rp1
Advances in Computer and Electrical Engineering,rp1
Alberto Mendelzon Workshop on Foundations of Data Management,rp2
Applied Sciences,rp2
Artificial Intelligence Applications and Innovations,rp1
BDCAT,rp3
BMC Bioinformatics,rp1
BioData Mining,rp3
BlockSW/CKG@ISWC,rp3
Brazilian Symposium on Bioinformatics,rp3
Computer,rp1
Database J. Biol. Databases Curation,rp3
EDBT/ICDT Workshops,rp2
EPJ Web of Conferences,rp3
GRADES-NDA@SIGMOD,rp1
GRADES/NDA@SIGMOD/PODS,rp2
GRADES@SIGMOD/PODS,rp2
IEEE Access,rp3
IEEE International Advance Computing Conference,rp2
IEEE International Conference on Data Engineering,rp2
IEEE International Conference on Fuzzy Systems,rp2
IEEE International Symposium on High-Performance Parallel Distributed Computing,rp3
IEEE Transactions on Knowledge and Data Engineering,rp3
"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing",rp3
IT Professional,rp2
International Conference on Advances in Social Networks Analysis and Mining,rp3
International Conference on Artificial Intelligence and Soft Computing,rp1
International Conference on Automated Planning and Scheduling,rp1
International Conference on Computer Information Systems and Industrial Management Applications,rp2
"International Conference on Computing, Communication and Automation",rp2
International Conference on Conceptual Modeling,rp2
"International Conference on Control, Automation and Information Sciences",rp3
International Conference on Data Technologies and Applications,rp1
International Conference on Data Warehousing and Knowledge Discovery,rp2
International Conference on Database Theory,rp1
International Conference on Database and Expert Systems Applications,rp1
International Conference on Enterprise Information Systems,rp2
International Conference on Extending Database Technology,rp3
International Conference on Flexible Query Answering Systems,rp3
International Conference on Information Networking,rp2
International Conference on Information Processing and Management of Uncertainty,rp1
International Conference on Information Systems Security and Privacy,rp1
International Conference on Information Technology & Systems,rp3
International Conference on Information and Knowledge Management,rp3
"International Conference on Internet of Things, Big Data and Security",rp3
International Conference on Statistical and Scientific Database Management,rp3
International Conference on Web Engineering,rp3
International Conferences on Graph Computing,rp1
International Database Engineering and Applications Symposium,rp3
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",rp2
International Symposium Graph Drawing and Network Visualization,rp3
International Workshop on the Semantic Web,rp1
Journal of Artificial Intelligence Research,rp1
Journal of Database Management,rp3
Journal on Data Semantics,rp2
Knowledge Discovery and Data Mining,rp1
LOG IN,rp1
PLoS ONE,rp3
PPAA '14,rp1
Proceedings of the VLDB Endowment,rp2
SDM,rp1
SIGMOD Conference,rp3
SIGMOD record,rp1
Symposium on Advances in Databases and Information Systems,rp1
The VLDB journal,rp3
Theory of Computing Systems,rp2
Trans. GIS,rp2
Undergraduate Topics in Computer Science,rp1
Very Large Data Bases Conference,rp3
Vietnam Journal of Computer Science,rp1
Workshop on the Theory and Practice of Provenance,rp2
WorldCIST,rp1
arXiv.org,rp3
