:START_ID(Journal),:END_ID(ReviewPolicy)
arXiv.org,rp2
Applied Sciences,rp1
SIGMOD record,rp1
GRADES-NDA@SIGMOD,rp1
LOG IN,rp2
The VLDB journal,rp2
Database J. Biol. Databases Curation,rp2
Undergraduate Topics in Computer Science,rp3
Journal on Data Semantics,rp2
IEEE Access,rp3
Knowledge Discovery and Data Mining,rp3
Advances in Computer and Electrical Engineering,rp1
ACM Computing Surveys,rp3
Theory of Computing Systems,rp1
BDCAT,rp3
GRADES/NDA@SIGMOD/PODS,rp1
IEEE Transactions on Knowledge and Data Engineering,rp3
BlockSW/CKG@ISWC,rp2
Trans. GIS,rp1
Journal of Database Management,rp3
BioData Mining,rp1
Journal of Artificial Intelligence Research,rp3
PLoS ONE,rp2
WorldCIST,rp2
GRADES@SIGMOD/PODS,rp3
SDM,rp2
BMC Bioinformatics,rp1
Vietnam Journal of Computer Science,rp2
IT Professional,rp3
ANT/SEIT,rp3
Artificial Intelligence Applications and Innovations,rp2
Computer,rp3
PPAA '14,rp1
