venue_name,type
arXiv.org,Journal
Applied Sciences,Journal
SIGMOD record,Journal
GRADES-NDA@SIGMOD,Journal
International Conference on Database Theory,Conference
LOG IN,Journal
The VLDB journal,Journal
Database J. Biol. Databases Curation,Journal
Undergraduate Topics in Computer Science,Journal
Journal on Data Semantics,Journal
IEEE Access,Journal
SIGMOD Conference,Conference
International Conference on Advances in Social Networks Analysis and Mining,Conference
International Conference on Data Technologies and Applications,Conference
Knowledge Discovery and Data Mining,Journal
Advances in Computer and Electrical Engineering,Journal
"International Conference on Internet of Things, Big Data and Security",Conference
ACM Computing Surveys,Journal
International Conference on Conceptual Modeling,Conference
EPJ Web of Conferences,Conference
Theory of Computing Systems,Journal
IEEE International Conference on Data Engineering,Conference
International Conference on Statistical and Scientific Database Management,Conference
BDCAT,Journal
Proceedings of the VLDB Endowment,Conference
International Conference on Enterprise Information Systems,Conference
GRADES/NDA@SIGMOD/PODS,Journal
IEEE Transactions on Knowledge and Data Engineering,Journal
Trans. GIS,Journal
BlockSW/CKG@ISWC,Journal
Journal of Database Management,Journal
BioData Mining,Journal
2019 IEEE 15th International Scientific Conference on Informatics,Conference
Symposium on Advances in Databases and Information Systems,Conference
International Conferences on Graph Computing,Conference
Journal of Artificial Intelligence Research,Journal
Workshop on the Theory and Practice of Provenance,Conference
"International Conference on Control, Automation and Information Sciences",Conference
International Conference on Web Engineering,Conference
International Conference on Information Technology & Systems,Conference
International Conference on Information Networking,Conference
International Conference on Database and Expert Systems Applications,Conference
Brazilian Symposium on Bioinformatics,Conference
International Conference on Information Systems Security and Privacy,Conference
PLoS ONE,Journal
WorldCIST,Journal
International Conference on Artificial Intelligence and Soft Computing,Conference
2017 IEEE International Conference on Big Data (Big Data),Conference
GRADES@SIGMOD/PODS,Journal
IEEE International Symposium on High-Performance Parallel Distributed Computing,Conference
International Database Engineering and Applications Symposium,Conference
International Workshop on the Semantic Web,Conference
SDM,Journal
BMC Bioinformatics,Journal
EDBT/ICDT Workshops,Conference
Vietnam Journal of Computer Science,Journal
IT Professional,Journal
International Conference on Automated Planning and Scheduling,Conference
International Conference on Information and Knowledge Management,Conference
IEEE International Conference on Fuzzy Systems,Conference
International Conference on Data Warehousing and Knowledge Discovery,Conference
Alberto Mendelzon Workshop on Foundations of Data Management,Conference
ANT/SEIT,Journal
"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing",Conference
International Conference on Computer Information Systems and Industrial Management Applications,Conference
"International Conference on Computing, Communication and Automation",Conference
IEEE International Advance Computing Conference,Conference
Artificial Intelligence Applications and Innovations,Journal
International Conference on Extending Database Technology,Conference
International Conference on Flexible Query Answering Systems,Conference
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",Conference
Very Large Data Bases Conference,Conference
International Symposium Graph Drawing and Network Visualization,Conference
Computer,Journal
PPAA '14,Journal
International Conference on Information Processing and Management of Uncertainty,Conference
