volume_id,number,year
arXiv.org_Vol2023,2023,2023
Applied Sciences_Vol2023,2023,2023
SIGMOD record_Vol2022,2022,2022
GRADES-NDA@SIGMOD_Vol2022,2022,2022
LOG IN_Vol2022,2022,2022
The VLDB journal_Vol2021,2021,2021
Database J. Biol. Databases Curation_Vol2021,2021,2021
Undergraduate Topics in Computer Science_Vol2019,2019,2019
Journal on Data Semantics_Vol2020,2020,2020
IEEE Access_Vol2020,2020,2020
Knowledge Discovery and Data Mining_Vol2020,2020,2020
Advances in Computer and Electrical Engineering_Vol2019,2019,2019
ACM Computing Surveys_Vol2019,2019,2019
Theory of Computing Systems_Vol2017,2017,2017
ACM Computing Surveys_Vol2016,2016,2016
BDCAT_Vol2019,2019,2019
GRADES/NDA@SIGMOD/PODS_Vol2018,2018,2018
IEEE Transactions on Knowledge and Data Engineering_Vol2018,2018,2018
Applied Sciences_Vol2022,2022,2022
Trans. GIS_Vol2019,2019,2019
BlockSW/CKG@ISWC_Vol2019,2019,2019
Journal of Database Management_Vol2019,2019,2019
BioData Mining_Vol2016,2016,2016
Journal of Artificial Intelligence Research_Vol2018,2018,2018
PLoS ONE_Vol2017,2017,2017
WorldCIST_Vol2018,2018,2018
GRADES@SIGMOD/PODS_Vol2017,2017,2017
BMC Bioinformatics_Vol2016,2016,2016
SDM_Vol2016,2016,2016
WorldCIST_Vol2017,2017,2017
Vietnam Journal of Computer Science_Vol2017,2017,2017
IT Professional_Vol2017,2017,2017
The VLDB journal_Vol2016,2016,2016
arXiv.org_Vol2016,2016,2016
ANT/SEIT_Vol2017,2017,2017
arXiv.org_Vol2020,2020,2020
IEEE Transactions on Knowledge and Data Engineering_Vol2015,2015,2015
The VLDB journal_Vol2015,2015,2015
Artificial Intelligence Applications and Innovations_Vol2015,2015,2015
GRADES@SIGMOD/PODS_Vol2015,2015,2015
Computer_Vol2015,2015,2015
PPAA '14_Vol2014,2014,2014
Molecular Plant_Vol2020,2020,2020
MIS Q._Vol2012,2012,2012
Harvard Business Review_Vol2012,2012,2012
arXiv.org_Vol2021,2021,2021
Iraqi Journal for Computers and Informatics_Vol2022,2022,2022
Journal of Big Data_Vol2022,2022,2022
Lecture Notes in Computer Science_Vol2019,2019,2019
International Journal of Information Management_Vol2015,2015,2015
International Journal for Research in Applied Science and Engineering Technology_Vol2022,2022,2022
The Information Society_Vol2017,2017,2017
Military Medical Research_Vol2021,2021,2021
Big Data and Cognitive Computing_Vol2022,2022,2022
The International Journal of Advanced Manufacturing Technology_Vol2017,2017,2017
Journal of Big Data_Vol2020,2020,2020
IEEE transactions on intelligent transportation systems (Print)_Vol2015,2015,2015
IEEE Internet of Things Journal_Vol2020,2020,2020
Frontiers in Artificial Intelligence_Vol2020,2020,2020
Chemical Reviews_Vol2020,2020,2020
IEEE Access_Vol2021,2021,2021
Wirtschaftsinf._Vol2014,2014,2014
Journal of Evidence-Based Medicine_Vol2020,2020,2020
Journal of Big Data_Vol2021,2021,2021
Journal of the American Medical Association (JAMA)_Vol2018,2018,2018
IEEE Transactions on Knowledge and Data Engineering_Vol2016,2016,2016
Archives of Computational Methods in Engineering_Vol2021,2021,2021
The Review of financial studies_Vol2021,2021,2021
New England Journal of Medicine_Vol2016,2016,2016
Frontiers in Psychology_Vol2020,2020,2020
Journal of business research_Vol2020,2020,2020
IEEE Access_Vol2018,2018,2018
New Horizons for a Data-Driven Economy_Vol2021,2021,2021
Journal of Big Data_Vol2019,2019,2019
Health Information Science and Systems_Vol2014,2014,2014
Journal of Big Data_Vol2015,2015,2015
Advances in Big Data Analytics_Vol2022,2022,2022
Information Sciences_Vol2014,2014,2014
Nature Network Boston_Vol2020,2020,2020
ACM Computing Surveys_Vol2020,2020,2020
American Journal of Epidemiology_Vol2016,2016,2016
Big Data and Cognitive Computing_Vol2020,2020,2020
Information Systems_Vol2015,2015,2015
Review of Research in Education_Vol2020,2020,2020
Annual Review of Pharmacology and Toxicology_Vol2020,2020,2020
British Journal of Management_Vol2019,2019,2019
Nucleic Acids Res._Vol2019,2019,2019
Enterprise Information Systems_Vol2019,2019,2019
IEEE transactions on intelligent transportation systems (Print)_Vol2019,2019,2019
Nature Network Boston_Vol2019,2019,2019
Enterprise Information Systems_Vol2020,2020,2020
Management Decision_Vol2019,2019,2019
Big Data Mining and Analytics_Vol2020,2020,2020
"International Journal of Minerals, Metallurgy, and Materials_Vol2020",2020,2020
Gut_Vol2020,2020,2020
IEEE Transactions on Industrial Informatics_Vol2020,2020,2020
Big Data Research_Vol2021,2021,2021
Journal of Management Information Systems_Vol2018,2018,2018
Building Simulation_Vol2020,2020,2020
International Journal of Educational Technology in Higher Education_Vol2020,2020,2020
Nature Communications_Vol2019,2019,2019
IEEE Transactions on Big Data_Vol2020,2020,2020
Computer Communications_Vol2020,2020,2020
Annals of Operations Research_Vol2020,2020,2020
Big Data & Society_Vol2020,2020,2020
Robotics Comput. Integr. Manuf._Vol2020,2020,2020
IEEE Transactions on Neural Networks and Learning Systems_Vol2018,2018,2018
International Journal of Data Science and Analysis_Vol2020,2020,2020
IEEE Communications Surveys and Tutorials_Vol2017,2017,2017
Journal of Big Data_Vol2018,2018,2018
Future generations computer systems_Vol2020,2020,2020
Cities_Vol2019,2019,2019
The Lancet Oncology_Vol2019,2019,2019
Frontiers in Medicine_Vol2019,2019,2019
